fid,DN,built_sum,built_mean
1,1,2.25E-06,1.653179323
2,1,0.000154316,10.39909267
4,1,9.01E-06,7.126565793
5,1,3.63E-05,15.58516681
6,1,5.76E-06,6.745989729
7,1,4.70E-06,7.721646355
8,1,1.87E-05,11.68633053
9,1,3.13E-06,5.368348377
10,1,3.34E-05,14.68615584
11,1,2.18E-05,8.205901504
12,1,8.04E-06,10.75332564
13,1,3.61E-06,11.47419312
14,1,3.44E-06,5.173695484
15,1,7.66E-05,12.98790294
16,1,2.96E-05,19.27536242
17,1,4.29E-05,11.23212582
18,1,2.86E-05,16.264854
19,1,1.42E-05,11.90544244
20,1,6.36E-06,17.04177832
21,1,3.96E-05,11.0832825
22,1,1.53E-05,12.8728525
23,1,5.71E-05,19.68576345
24,1,0.00048088,27.60802078
25,1,3.17E-05,22.11273631
26,1,5.98E-05,33.27373555
27,1,5.61E-05,16.94243417
28,1,1.11E-05,21.40531977
29,1,7.72E-05,30.45937059
30,1,8.33E-06,18.56345998
