fid,id,left,top,right,bottom,built_sum,built_mean
"8","8",774426.551876033,641794.977131085,779426.551876033,636794.977131085,67.0481355190277,2.16284308125896
"9","9",774426.551876033,636794.977131085,779426.551876033,631794.977131085,7286.94848155975,4.0663775008704
"10","10",774426.551876033,631794.977131085,779426.551876033,626794.977131085,8514.76812589169,3.60642444976353
"11","11",774426.551876033,626794.977131085,779426.551876033,621794.977131085,3570.79811239243,6.67438899512603
"23","23",779426.551876033,641794.977131085,784426.551876033,636794.977131085,4653.16950440407,3.25624178054868
"24","24",779426.551876033,636794.977131085,784426.551876033,631794.977131085,8641.26120877266,2.96339547625949
"25","25",779426.551876033,631794.977131085,784426.551876033,626794.977131085,12221.0471367836,4.11483068578572
"26","26",779426.551876033,626794.977131085,784426.551876033,621794.977131085,8401.80476617813,4.12865099075092
"38","38",784426.551876033,641794.977131085,789426.551876033,636794.977131085,4108.21674776077,3.3591306195918
"39","39",784426.551876033,636794.977131085,789426.551876033,631794.977131085,9856.3998901844,3.38010970170933
"40","40",784426.551876033,631794.977131085,789426.551876033,626794.977131085,9073.00063621998,3.05488236909764
"41","41",784426.551876033,626794.977131085,789426.551876033,621794.977131085,11557.5755600929,3.97167545020375
"42","42",784426.551876033,621794.977131085,789426.551876033,616794.977131085,14480.2248258591,7.01561280322629
"43","43",784426.551876033,616794.977131085,789426.551876033,611794.977131085,41251.5544905663,29.698743333741
"44","44",784426.551876033,611794.977131085,789426.551876033,606794.977131085,26134.2467489243,22.7452103994119
"45","45",784426.551876033,606794.977131085,789426.551876033,601794.977131085,2091.25559997559,12.4479499998547
"53","53",789426.551876033,641794.977131085,794426.551876033,636794.977131085,4987.81397414207,5.69385156865534
"54","54",789426.551876033,636794.977131085,794426.551876033,631794.977131085,18004.8578813076,6.17450544626461
"55","55",789426.551876033,631794.977131085,794426.551876033,626794.977131085,13199.9680732489,4.44443369469659
"56","56",789426.551876033,626794.977131085,794426.551876033,621794.977131085,15687.74868536,5.37988638043894
"57","57",789426.551876033,621794.977131085,794426.551876033,616794.977131085,8662.69515967369,4.95577526297122
"58","58",789426.551876033,616794.977131085,794426.551876033,611794.977131085,64526.9448480606,29.5588386844071
"59","59",789426.551876033,611794.977131085,794426.551876033,606794.977131085,48734.1201305389,20.9159313864974
"60","60",789426.551876033,606794.977131085,794426.551876033,601794.977131085,166.878955841064,12.836842757005
"68","68",794426.551876033,641794.977131085,799426.551876033,636794.977131085,16870.5265828371,9.16876444719408
"69","69",794426.551876033,636794.977131085,799426.551876033,631794.977131085,34973.603843689,11.7756241897943
"70","70",794426.551876033,631794.977131085,799426.551876033,626794.977131085,45010.7736859322,14.8795946069197
"71","71",794426.551876033,626794.977131085,799426.551876033,621794.977131085,49669.0057115555,16.7235709466517
"72","72",794426.551876033,621794.977131085,799426.551876033,616794.977131085,75506.3368372917,26.3731529295465
"73","73",794426.551876033,616794.977131085,799426.551876033,611794.977131085,137942.716306686,45.6461668784535
"74","74",794426.551876033,611794.977131085,799426.551876033,606794.977131085,22670.0058941841,17.7803967797522
"82","82",799426.551876033,646794.977131085,804426.551876033,641794.977131085,422.320616960526,2.63950385600328
"83","83",799426.551876033,641794.977131085,804426.551876033,636794.977131085,7632.62449133396,2.94582188009802
"84","84",799426.551876033,636794.977131085,804426.551876033,631794.977131085,30641.641712904,10.5081075833004
"85","85",799426.551876033,631794.977131085,804426.551876033,626794.977131085,66250.3652353287,22.3065202812554
"86","86",799426.551876033,626794.977131085,804426.551876033,621794.977131085,87447.19942379,29.9887515170748
"87","87",799426.551876033,621794.977131085,804426.551876033,616794.977131085,250039.715791702,85.7475019861805
"88","88",799426.551876033,616794.977131085,804426.551876033,611794.977131085,264437.529835701,103.619721722453
"89","89",799426.551876033,611794.977131085,804426.551876033,606794.977131085,30085.736125946,56.6586367720264
"98","98",804426.551876033,641794.977131085,809426.551876033,636794.977131085,2133.59743106365,3.95110635382158
"99","99",804426.551876033,636794.977131085,809426.551876033,631794.977131085,29491.5344583988,10.9147055730566
"100","100",804426.551876033,631794.977131085,809426.551876033,626794.977131085,74030.1979341507,24.9343879872518
"101","101",804426.551876033,626794.977131085,809426.551876033,621794.977131085,161280.537824631,55.3088264144824
"102","102",804426.551876033,621794.977131085,809426.551876033,616794.977131085,445573.352222443,152.80293286092
"103","103",804426.551876033,616794.977131085,809426.551876033,611794.977131085,488322.75112915,169.969631440707
"104","104",804426.551876033,611794.977131085,809426.551876033,606794.977131085,12074.5835494995,110.775995866968
"112","112",809426.551876033,646794.977131085,814426.551876033,641794.977131085,838.527771830559,3.27549910871312
"113","113",809426.551876033,641794.977131085,814426.551876033,636794.977131085,25589.9952521324,10.7883622479479
"114","114",809426.551876033,636794.977131085,814426.551876033,631794.977131085,47305.8997144699,15.9279123617744
"115","115",809426.551876033,631794.977131085,814426.551876033,626794.977131085,94982.2376832962,31.3990868374533
"116","116",809426.551876033,626794.977131085,814426.551876033,621794.977131085,237153.328878403,79.8496056829639
"117","117",809426.551876033,621794.977131085,814426.551876033,616794.977131085,407637.531702042,137.251694175772
"118","118",809426.551876033,616794.977131085,814426.551876033,611794.977131085,271003.085235596,150.22343970931
"126","126",814426.551876033,651794.977131085,819426.551876033,646794.977131085,4329.63847398758,4.44978260430378
"127","127",814426.551876033,646794.977131085,819426.551876033,641794.977131085,24320.6053093672,9.29686747299969
"128","128",814426.551876033,641794.977131085,819426.551876033,636794.977131085,24097.0442631245,8.26373260052279
"129","129",814426.551876033,636794.977131085,819426.551876033,631794.977131085,20806.5257259607,7.14019414068659
"130","130",814426.551876033,631794.977131085,819426.551876033,626794.977131085,35579.8181838989,11.9797367622555
"131","131",814426.551876033,626794.977131085,819426.551876033,621794.977131085,131799.396570206,45.245244274015
"132","132",814426.551876033,621794.977131085,819426.551876033,616794.977131085,228564.603128433,78.3829228835505
"133","133",814426.551876033,616794.977131085,819426.551876033,611794.977131085,89438.5543327332,111.241983000912
"140","140",819426.551876033,656794.977131085,824426.551876033,651794.977131085,1699.84101855755,2.09598152719796
"141","141",819426.551876033,651794.977131085,824426.551876033,646794.977131085,11496.7996380925,3.8919430054477
"142","142",819426.551876033,646794.977131085,824426.551876033,641794.977131085,16770.9827004075,5.75136580946759
"143","143",819426.551876033,641794.977131085,824426.551876033,636794.977131085,12881.395704031,4.41748823869376
"144","144",819426.551876033,636794.977131085,824426.551876033,631794.977131085,25756.924500227,8.83296450625068
"145","145",819426.551876033,631794.977131085,824426.551876033,626794.977131085,38513.8467428684,13.0290415232978
